participant_id	session	run	corr_mean	qc
PT030_OpenNeuro_ds001942_sub-04.nii.gz	V1	1	0.7890511	1
PT030_OpenNeuro_ds004958_sub-33.nii.gz	V1	1	0.9585922	1
PT030_OpenNeuro_ds004958_sub-05.nii.gz	V1	1	0.99056715	1
PT030_OpenNeuro_ds004958_sub-04.nii.gz	V1	1	1.0060576	1
PT030_OpenNeuro_ds004958_sub-22.nii.gz	V1	1	1.0178891	1
PT030_OpenNeuro_ds004958_sub-18.nii.gz	V1	1	1.0193299	1
PT030_OpenNeuro_ds004958_sub-31.nii.gz	V1	1	1.0323173	1
PT030_OpenNeuro_ds004958_sub-34.nii.gz	V1	1	1.0456676	1
PT030_OpenNeuro_ds006040_sub-11.nii.gz	V1	1	1.053223	1
PT030_OpenNeuro_ds004958_sub-07.nii.gz	V1	1	1.0597178	1
PT030_OpenNeuro_ds004958_sub-30.nii.gz	V1	1	1.0615262	1
PT030_OpenNeuro_ds004958_sub-32.nii.gz	V1	1	1.0627569	1
PT030_OpenNeuro_ds003192_sub-05.nii.gz	V1	1	1.088484	1
PT030_OpenNeuro_ds003192_sub-03.nii.gz	V1	1	1.0931906	1
PT030_OpenNeuro_ds003192_sub-06.nii.gz	V1	1	1.1184016	1
PT030_OpenNeuro_ds004928_sub-02.nii.gz	V1	1	1.1350611	1
PT030_OpenNeuro_ds004958_sub-15.nii.gz	V1	1	1.1677644	1
099_S_4086_I943534.nii.gz	V1	1	1.2442085	1
sub-426134424341.nii.gz	V1	1	1.2497755	1
126_S_6559_I1509217.nii.gz	V1	1	1.2687634	1
PT030_OpenNeuro_ds005264_sub-07.nii.gz	V1	1	1.268827	1
PT030_OpenNeuro_ds005264_sub-21.nii.gz	V1	1	1.2746603	1
PT030_OpenNeuro_ds003684_sub-14.nii.gz	V1	1	1.2785282	1
PT030_OpenNeuro_ds004815_sub-03.nii.gz	V1	1	1.2832519	1
PT030_OpenNeuro_ds005551_sub-11.nii.gz	V1	1	1.2862912	1
PT030_OpenNeuro_ds005216_sub-67.nii.gz	V1	1	1.2877997	1
PT030_OpenNeuro_ds005366_sub-099.nii.gz	V1	1	1.2925575	1
PT030_OpenNeuro_ds005264_sub-11.nii.gz	V1	1	1.2925615	1
sub-121916223122.nii.gz	V1	1	1.2925925	1
009_S_0751_I1485270.nii.gz	V1	1	1.2936974	1
PT030_OpenNeuro_ds003592_sub-265.nii.gz	V1	1	1.3012986	1
126_S_6559_I1356105.nii.gz	V1	1	1.3053447	1
PT030_OpenNeuro_ds004440_sub-45.nii.gz	V1	1	1.306892	1
PT030_OpenNeuro_ds005216_sub-61.nii.gz	V1	1	1.3085457	1
PT030_OpenNeuro_ds005216_sub-73.nii.gz	V1	1	1.3117354	1
PT030_OpenNeuro_ds005405_sub-092.nii.gz	V1	1	1.3119608	1
PT030_OpenNeuro_ds004440_sub-06.nii.gz	V1	1	1.3119806	1
PT030_OpenNeuro_ds003592_sub-271.nii.gz	V1	1	1.315869	1
PT030_OpenNeuro_ds004484_sub-17.nii.gz	V1	1	1.3166616	1
PT030_OpenNeuro_ds005088_sub-06.nii.gz	V1	1	1.3186225	1
sub-716652117874.nii.gz	V1	1	1.3186436	1
PT030_OpenNeuro_ds005874_sub-54.nii.gz	V1	1	1.3202342	1
PT030_OpenNeuro_ds004815_sub-07.nii.gz	V1	1	1.3209665	1
PT030_OpenNeuro_ds005874_sub-29.nii.gz	V1	1	1.3221751	1
sub-OAS30480_ses-d0161_run-01.nii.gz	V1	1	1.3227909	1
PT030_OpenNeuro_ds003592_sub-260.nii.gz	V1	1	1.3248401	1
021_S_0337_I1167048.nii.gz	V1	1	1.3251996	1
PT030_OpenNeuro_ds003592_sub-263.nii.gz	V1	1	1.326965	1
PT030_OpenNeuro_ds005366_sub-136.nii.gz	V1	1	1.3277086	1
027_S_0074_I1401760.nii.gz	V1	1	1.330691	1
PT030_OpenNeuro_ds003592_sub-269.nii.gz	V1	1	1.3314346	1
PT030_OpenNeuro_ds006067_sub-056.nii.gz	V1	1	1.3315867	1
009_S_0751_I1025741.nii.gz	V1	1	1.3321618	1
PT030_OpenNeuro_ds004581_sub-16.nii.gz	V1	1	1.3325247	1
PT030_OpenNeuro_ds005216_sub-40.nii.gz	V1	1	1.3337698	1
sub-303310574754.nii.gz	V1	1	1.3349941	1
126_S_6559_I1038586.nii.gz	V1	1	1.3354025	1
PT030_OpenNeuro_ds002995_sub-14.nii.gz	V1	1	1.3359156	1
009_S_0751_I1186516.nii.gz	V1	1	1.3360229	1
PT030_OpenNeuro_ds005216_sub-36.nii.gz	V1	1	1.3360485	1
sub-776489659954.nii.gz	V1	1	1.3366375	1
PT030_OpenNeuro_ds005216_sub-66.nii.gz	V1	1	1.3375784	1
PT030_OpenNeuro_ds005088_sub-11.nii.gz	V1	1	1.338257	1
PT030_OpenNeuro_ds006067_sub-113.nii.gz	V1	1	1.3427434	1
sub-675789932781.nii.gz	V1	1	1.3429052	1
027_S_0074_I1120324.nii.gz	V1	1	1.3438721	1
PT030_OpenNeuro_ds001378_sub-25.nii.gz	V1	1	1.3442613	1
PT030_OpenNeuro_ds004815_sub-01.nii.gz	V1	1	1.3451203	1
PT030_OpenNeuro_ds003684_sub-15.nii.gz	V1	1	1.3473374	1
PT030_OpenNeuro_ds005405_sub-065.nii.gz	V1	1	1.3473401	1
PT030_OpenNeuro_ds005551_sub-47.nii.gz	V1	1	1.3494046	1
PT030_OpenNeuro_ds006211_sub-24.nii.gz	V1	1	1.3500065	1
sub-545766225869.nii.gz	V1	1	1.3501166	1
sub-124729451238.nii.gz	V1	1	1.3509496	1
PT030_OpenNeuro_ds005088_sub-02.nii.gz	V1	1	1.3511205	1
sub-OAS30825_ses-d4885_run-02.nii.gz	V1	1	1.3516693	1
AOMIC-PIOP1_sub-0157_T1w.nii.gz	V1	1	1.351791	1
PT030_OpenNeuro_ds005551_sub-24.nii.gz	V1	1	1.3534682	1
129_S_4422_I974779.nii.gz	V1	1	1.3537917	1
sub-462484204390.nii.gz	V1	1	1.3542398	1
009_S_0751_I876555.nii.gz	V1	1	1.35434	1
PT030_OpenNeuro_ds003592_sub-026.nii.gz	V1	1	1.354376	1
sub-222716353013.nii.gz	V1	1	1.3543787	1
PT030_OpenNeuro_ds005216_sub-41.nii.gz	V1	1	1.3544906	1
PT030_OpenNeuro_ds005374_sub-38.nii.gz	V1	1	1.3546078	1
PT030_OpenNeuro_ds005874_sub-23.nii.gz	V1	1	1.3551393	1
PT007_ATAG_sub-46.nii.gz	V1	1	1.3551606	1
PT030_OpenNeuro_ds005366_sub-138.nii.gz	V1	1	1.3551714	1
PT030_OpenNeuro_ds005733_sub-19.nii.gz	V1	1	1.3558	1
PT030_OpenNeuro_ds003592_sub-117.nii.gz	V1	1	1.3558387	1
PT030_OpenNeuro_ds006211_sub-23.nii.gz	V1	1	1.3559349	1
PT030_OpenNeuro_ds004958_sub-21.nii.gz	V1	1	1.3561633	1
PT030_OpenNeuro_ds005752_sub-096.nii.gz	V1	1	1.3571262	1
PT030_OpenNeuro_ds003545_sub-20.nii.gz	V1	1	1.3573407	1
PT030_OpenNeuro_ds005216_sub-44.nii.gz	V1	1	1.3584956	1
PT030_OpenNeuro_ds005216_sub-71.nii.gz	V1	1	1.3590614	1
PT030_OpenNeuro_ds004056_sub-25.nii.gz	V1	1	1.3605827	1
PT030_OpenNeuro_ds006067_sub-101.nii.gz	V1	1	1.3607174	1
PT030_OpenNeuro_ds003592_sub-272.nii.gz	V1	1	1.360749	1
PT030_OpenNeuro_ds005216_sub-33.nii.gz	V1	1	1.3609792	1
PT030_OpenNeuro_ds006067_sub-030.nii.gz	V1	1	1.361216	1
PT007_ATAG_sub-50.nii.gz	V1	1	1.3613352	1
PT030_OpenNeuro_ds003592_sub-022.nii.gz	V1	1	1.3622515	1
PT030_OpenNeuro_ds004648_sub-22.nii.gz	V1	1	1.362399	1
PT030_OpenNeuro_ds003592_sub-256.nii.gz	V1	1	1.3628358	1
PT030_OpenNeuro_ds003684_sub-21.nii.gz	V1	1	1.363556	1
021_S_7092_I1597664.nii.gz	V1	1	1.3639433	1
sub-OAS30825_ses-d4885_run-01.nii.gz	V1	1	1.3663257	1
PT030_OpenNeuro_ds005216_sub-52.nii.gz	V1	1	1.3664483	1
PT030_OpenNeuro_ds005216_sub-24.nii.gz	V1	1	1.3668087	1
PT030_OpenNeuro_ds006067_sub-072.nii.gz	V1	1	1.368598	1
PT030_OpenNeuro_ds004443_sub-01.nii.gz	V1	1	1.3686371	1
PT030_OpenNeuro_ds005752_sub-166.nii.gz	V1	1	1.3692673	1
PT030_OpenNeuro_ds006211_sub-05.nii.gz	V1	1	1.3704687	1
021_S_0337_I859989.nii.gz	V1	1	1.3708676	1
PT030_OpenNeuro_ds003340_sub-04.nii.gz	V1	1	1.370889	1
PT030_OpenNeuro_ds004443_sub-02.nii.gz	V1	1	1.3712548	1
sub-309845444862.nii.gz	V1	1	1.3716475	1
PT030_OpenNeuro_ds003545_sub-22.nii.gz	V1	1	1.3717777	1
PT030_OpenNeuro_ds003592_sub-270.nii.gz	V1	1	1.372152	1
PT030_OpenNeuro_ds006334_sub-16.nii.gz	V1	1	1.372327	1
sub-OAS30302_ses-d0262_run-01.nii.gz	V1	1	1.3724577	1
PT030_OpenNeuro_ds003545_sub-17.nii.gz	V1	1	1.3725668	1
PT030_OpenNeuro_ds005366_sub-141.nii.gz	V1	1	1.3728892	1
PT030_OpenNeuro_ds004958_sub-20.nii.gz	V1	1	1.3729874	1
sub-276630944980.nii.gz	V1	1	1.373703	1
PT030_OpenNeuro_ds005752_sub-246.nii.gz	V1	1	1.3738079	1
PT030_OpenNeuro_ds005874_sub-52.nii.gz	V1	1	1.3740004	1
PT030_OpenNeuro_ds004581_sub-20.nii.gz	V1	1	1.3746133	1
PT030_OpenNeuro_ds003592_sub-003.nii.gz	V1	1	1.3749032	1
PT030_OpenNeuro_ds005374_sub-09.nii.gz	V1	1	1.375723	1
PT007_ATAG_sub-44.nii.gz	V1	1	1.3758112	1
029_S_4290_I1133905.nii.gz	V1	1	1.3761903	1
PT030_OpenNeuro_ds004470_sub-05.nii.gz	V1	1	1.3762838	1
PT030_OpenNeuro_ds003592_sub-268.nii.gz	V1	1	1.3767653	1
PT030_OpenNeuro_ds006211_sub-07.nii.gz	V1	1	1.3777101	1
PT030_OpenNeuro_ds005216_sub-05.nii.gz	V1	1	1.3778064	1
sub-OAS30302_ses-d0262_run-02.nii.gz	V1	1	1.3781201	1
PT030_OpenNeuro_ds003592_sub-020.nii.gz	V1	1	1.3784081	1
005_S_6084_I915206.nii.gz	V1	1	1.3785188	1
sub-OAS31104_ses-d1321.nii.gz	V1	1	1.3789468	1
005_S_0610_I906097.nii.gz	V1	1	1.3789784	1
PT030_OpenNeuro_ds001796_sub-40.nii.gz	V1	1	1.3794851	1
PT007_ATAG_sub-49.nii.gz	V1	1	1.3795091	1
sub-296950225202.nii.gz	V1	1	1.3805386	1
PT030_OpenNeuro_ds005216_sub-39.nii.gz	V1	1	1.3807566	1
021_S_0337_I1442100.nii.gz	V1	1	1.380864	1
PT030_OpenNeuro_ds005733_sub-17.nii.gz	V1	1	1.3809634	1
sub-OAS30154_ses-d0244.nii.gz	V1	1	1.3818902	1
sub-171162169563.nii.gz	V1	1	1.3821197	1
PT030_OpenNeuro_ds004958_sub-13.nii.gz	V1	1	1.3826782	1
PT030_OpenNeuro_ds005216_sub-74.nii.gz	V1	1	1.3840791	1
PT030_OpenNeuro_ds006040_sub-14.nii.gz	V1	1	1.3842115	1
PT030_OpenNeuro_ds005874_sub-04.nii.gz	V1	1	1.3843004	1
sub-581074279240.nii.gz	V1	1	1.3843359	1
PT007_ATAG_sub-51.nii.gz	V1	1	1.3852707	1
PT030_OpenNeuro_ds004470_sub-20.nii.gz	V1	1	1.3862811	1
PT030_OpenNeuro_ds003592_sub-257.nii.gz	V1	1	1.3883926	1
PT030_OpenNeuro_ds006067_sub-049.nii.gz	V1	1	1.3884103	1
PT030_OpenNeuro_ds001796_sub-36.nii.gz	V1	1	1.3885784	1
PT030_OpenNeuro_ds005366_sub-152.nii.gz	V1	1	1.3887556	1
PT030_OpenNeuro_ds006211_sub-09.nii.gz	V1	1	1.3893207	1
sub-477906303107.nii.gz	V1	1	1.3899932	1
PT030_OpenNeuro_ds001796_sub-59.nii.gz	V1	1	1.3901057	1
PT030_OpenNeuro_ds003592_sub-264.nii.gz	V1	1	1.3903707	1
029_S_4290_I1149150.nii.gz	V1	1	1.3908204	1
PT030_OpenNeuro_ds006005_sub-10.nii.gz	V1	1	1.3910487	1
099_S_6016_I1484260.nii.gz	V1	1	1.3919053	1
PT030_OpenNeuro_ds004798_sub-13.nii.gz	V1	1	1.3926353	1
PT007_ATAG_sub-48.nii.gz	V1	1	1.3929744	1
