participant_id	session	run	corr_mean	qc
PT030_OpenNeuro_ds005366_sub-136.nii.gz	V1	1	1.3277086	1
PT030_OpenNeuro_ds005405_sub-065.nii.gz	V1	1	1.3473401	1
PT030_OpenNeuro_ds005374_sub-38.nii.gz	V1	1	1.3546078	1
PT030_OpenNeuro_ds005366_sub-138.nii.gz	V1	1	1.3551714	1
PT030_OpenNeuro_ds005366_sub-141.nii.gz	V1	1	1.3728892	1
PT030_OpenNeuro_ds005374_sub-09.nii.gz	V1	1	1.375723	1
PT030_OpenNeuro_ds005366_sub-152.nii.gz	V1	1	1.3887556	1
PT030_OpenNeuro_ds005366_sub-129.nii.gz	V1	1	1.4036121	1
PT030_OpenNeuro_ds005366_sub-126.nii.gz	V1	1	1.4042784	1
PT030_OpenNeuro_ds005366_sub-130.nii.gz	V1	1	1.4105583	1
PT030_OpenNeuro_ds005405_sub-031.nii.gz	V1	1	1.4206016	1
PT030_OpenNeuro_ds005366_sub-139.nii.gz	V1	1	1.4253304	1
PT030_OpenNeuro_ds005366_sub-154.nii.gz	V1	1	1.4267503	1
PT030_OpenNeuro_ds005371_sub-05.nii.gz	V1	1	1.4352506	1
PT030_OpenNeuro_ds005405_sub-037.nii.gz	V1	1	1.4387621	1
PT030_OpenNeuro_ds005405_sub-033.nii.gz	V1	1	1.4450315	1
PT030_OpenNeuro_ds005366_sub-127.nii.gz	V1	1	1.4455881	1
PT030_OpenNeuro_ds005371_sub-09.nii.gz	V1	1	1.4481711	1
PT030_OpenNeuro_ds005405_sub-030.nii.gz	V1	1	1.4522201	1
PT030_OpenNeuro_ds005405_sub-004.nii.gz	V1	1	1.4545571	1
PT030_OpenNeuro_ds005371_sub-12.nii.gz	V1	1	1.4555029	1
PT030_OpenNeuro_ds005374_sub-04.nii.gz	V1	1	1.4569032	1
PT030_OpenNeuro_ds005405_sub-066.nii.gz	V1	1	1.4569464	1
PT030_OpenNeuro_ds005366_sub-134.nii.gz	V1	1	1.4575183	1
PT030_OpenNeuro_ds005405_sub-047.nii.gz	V1	1	1.4585912	1
PT030_OpenNeuro_ds005366_sub-145.nii.gz	V1	1	1.4592195	1
PT030_OpenNeuro_ds005366_sub-147.nii.gz	V1	1	1.4608742	1
PT030_OpenNeuro_ds005405_sub-053.nii.gz	V1	1	1.4623394	1
PT030_OpenNeuro_ds005405_sub-039.nii.gz	V1	1	1.4634606	1
PT030_OpenNeuro_ds005366_sub-137.nii.gz	V1	1	1.4641777	1
PT030_OpenNeuro_ds005371_sub-14.nii.gz	V1	1	1.4642501	1
PT030_OpenNeuro_ds005405_sub-043.nii.gz	V1	1	1.4658061	1
PT030_OpenNeuro_ds005366_sub-132.nii.gz	V1	1	1.4680471	1
PT030_OpenNeuro_ds005405_sub-052.nii.gz	V1	1	1.4742815	1
PT030_OpenNeuro_ds005374_sub-19.nii.gz	V1	1	1.4760499	1
PT030_OpenNeuro_ds005405_sub-027.nii.gz	V1	1	1.4761353	1
PT030_OpenNeuro_ds005371_sub-03.nii.gz	V1	1	1.4763516	1
PT030_OpenNeuro_ds005374_sub-10.nii.gz	V1	1	1.4787561	1
PT030_OpenNeuro_ds005405_sub-017.nii.gz	V1	1	1.4799438	1
PT030_OpenNeuro_ds005374_sub-01.nii.gz	V1	1	1.4818882	1
PT030_OpenNeuro_ds005374_sub-28.nii.gz	V1	1	1.4826549	1
PT030_OpenNeuro_ds005374_sub-32.nii.gz	V1	1	1.4833694	1
PT030_OpenNeuro_ds005405_sub-035.nii.gz	V1	1	1.4842991	1
PT030_OpenNeuro_ds005405_sub-006.nii.gz	V1	1	1.4865716	1
PT030_OpenNeuro_ds005405_sub-055.nii.gz	V1	1	1.4867606	1
PT030_OpenNeuro_ds005405_sub-042.nii.gz	V1	1	1.4886613	1
